name,category,country_code,region,city,status,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at
Customer.io,Media & Entertainment,USA,New York City,New York,operating,400000.0,4,2011-02-10,2012-05-01,2015-03-16
Customer Labs,Technology,IND,Chennai,Chennai,operating,50000.0,1,2013-01-01,2015-06-18,2015-06-18
Customer360,Business Services,IND,Mumbai,Mumbai,operating,500000.0,2,2013-09-01,2013-09-01,2015-05-06
CustomerAdvocacy.com,Social & Communication,GBR,Edinburgh,Edinburgh,operating,500000.0,1,2010-02-01,2010-02-01,2010-02-01
CustomerMatrix,Analytics & Data,USA,New York City,New York,operating,5500000.0,2,2013-02-01,2013-06-27,2014-12-23
CustomersHQ,Unknown,Unknown,Unknown,Unknown,closed,13100000.0,2,2015-01-01,2015-09-15,2015-09-15
CustomerXPs Software,Business Services,IND,Bangalore,Bangalore,operating,4000000.0,2,2006-12-29,2011-06-14,2014-02-03
Customfurnish.com,E-Commerce & Retail,IND,Hyderabad,Hyderabad,operating,2500000.0,1,2014-01-17,2015-03-04,2015-03-04
CustomInk,E-Commerce & Retail,USA,"Washington, D.C.",Fairfax,operating,40600000.0,3,2000-01-01,2000-01-01,2015-06-03
Customized Bartending Solutions,Media & Entertainment,USA,Chicago,Chicago,operating,500000.0,1,2012-10-02,2012-10-02,2012-10-02
Customizer Storage Solutions,Unknown,USA,Dallas,Carrollton,operating,3900000.0,1,2009-07-10,2010-06-03,2010-06-03
CustomMade,E-Commerce & Retail,USA,Boston,Cambridge,operating,25650000.0,5,1996-01-01,2009-01-01,2013-06-11
CustomVine,Food & Hospitality,USA,SF Bay Area,Walnut Creek,operating,637500.0,1,2012-10-19,2014-01-01,2014-01-01
Custopharm,Health & Biotechnology,USA,San Diego,Carlsbad,operating,1175735.0,1,2005-01-01,2015-02-03,2015-02-03
Custora,E-Commerce & Retail,USA,New York City,New York,operating,6500000.0,3,2011-01-01,2011-01-01,2015-04-07
Cut A Long Story,Social & Communication,Unknown,Unknown,Unknown,closed,95656.0,1,2014-06-24,2015-04-24,2015-04-24
Cutanea Life Sciences,Health & Biotechnology,USA,Philadelphia,Wayne,operating,450000.0,1,2005-01-01,2011-09-09,2011-09-09
Cute Attack,Technology,FIN,Helsinki,Helsinki,operating,13259.0,1,2011-11-13,2013-08-01,2013-08-01
Cutefund,Finance & FinTech,Unknown,Unknown,Unknown,operating,29833.0,1,2010-03-01,2010-03-01,2010-03-01
Cutetown,Business Services,RUS,Perm,Perm,operating,150000.0,1,2011-10-01,2011-10-01,2011-10-01
CutisPharma,Health & Biotechnology,USA,Boston,Wilmington,operating,20000000.0,2,2000-01-01,2014-12-30,2015-01-06
"Cuttime, Inc.",Analytics & Data,USA,New York City,New York,operating,1000000.0,1,2014-01-31,2014-01-31,2014-01-31
Cutting Edge Wheels,Transportation & Automotive,USA,Knoxville,Knoxville,operating,480000.0,2,2011-05-05,2012-11-01,2013-03-01
Cutwater Asset Management,Finance & FinTech,USA,New York City,Armonk,operating,415000000.0,1,1991-01-01,2014-07-31,2014-07-31
Cuurio,Marketing & Advertising,USA,New York City,New York,operating,300000.0,1,2013-02-28,2013-07-11,2013-07-11
Cuutio Software,Marketing & Advertising,FIN,Helsinki,Helsinki,operating,131310.0,1,2011-01-01,2012-05-02,2012-05-02
Cuvepia,Technology,KOR,Seongnam,Seongnam,operating,458550.0,1,2013-02-23,2014-11-12,2014-11-12
Cuvva,Finance & FinTech,Unknown,Unknown,Unknown,closed,250000.0,1,2014-02-28,2015-05-26,2015-05-26
Cuyana,E-Commerce & Retail,USA,SF Bay Area,San Francisco,operating,1700000.0,1,2013-01-01,2013-06-06,2013-06-06
Cuztomise,Business Services,IND,Indore,Indore,operating,379649.5,1,2011-11-01,2014-07-25,2014-07-25
CV Ingenuity,Health & Biotechnology,USA,SF Bay Area,Fremont,closed,32676154.0,4,2008-01-01,2009-05-26,2013-01-24
CV-Online,Business Services,EST,Tallinn,Tallinn,operating,2800000.0,1,1996-01-01,2001-02-02,2001-02-02
CV Properties,Real Estate & Construction,USA,CT - Other,Southport,operating,400000.0,1,2003-06-12,2013-09-15,2013-09-15
CV-Sight,Health & Biotechnology,USA,New Bedford,Mansfield,operating,2500000.0,1,2009-04-05,2012-04-24,2012-04-24
"CVAC Systems, Inc",Health & Biotechnology,USA,Ontario - Inland Empire,Temecula,operating,62745.0,1,2008-12-23,2012-01-12,2012-01-12
ciValue,Business Services,ISR,Netanya,Caesarea,operating,550000.0,1,2012-12-06,2014-04-01,2014-04-01
Acertiv,Finance & FinTech,USA,"Washington, D.C.",Dulles,operating,737630.0,2,2011-04-20,2012-10-08,2013-07-01
CVE Group,Manufacturing & Industrial,USA,Dallas,Allen,operating,17500000.0,1,1984-01-01,2015-08-13,2015-08-13
Cvent,Technology,USA,"Washington, D.C.",Mclean,ipo,136911999.0,3,1999-01-30,2000-09-01,2012-01-17
Cvergenx,Health & Biotechnology,USA,Tampa,Tampa,operating,225554.0,1,2007-03-27,2010-04-15,2010-04-15
Cvgram.me,Business Services,ARG,Buenos Aires,Buenos Aires,operating,97643.0,2,2011-10-01,2011-12-01,2012-08-01
CVN Networks,Business Services,CHN,Tianjin,Tianjin,closed,7000.0,1,2007-10-30,2007-10-30,2007-10-30
CVRx,Health & Biotechnology,USA,Minneapolis,Minneapolis,operating,205600000.0,5,2001-01-01,2007-05-10,2014-09-22
CVTech Group,Manufacturing & Industrial,CAN,Montreal,Drummondville,operating,5567367.0,1,2006-08-16,2009-07-21,2009-07-21
CwaveSoft,Media & Entertainment,KOR,Seoul,Seoul,operating,600000.0,1,2013-06-22,2014-09-11,2014-09-11
CWB Tech Limited,Technology,Unknown,Unknown,Unknown,operating,41250.0,1,2013-11-12,2015-08-01,2015-08-01
CWR Mobility,Business Services,USA,Seattle,Redmond,operating,1500000.0,2,2006-01-01,2009-06-01,2011-01-19
cWyze,Marketing & Advertising,USA,MO - Other,Philadelphia,operating,250000.0,1,2010-01-01,2011-02-07,2011-02-07
CX,Technology,USA,SF Bay Area,Palo Alto,operating,7659999.0,3,2009-01-01,2009-01-01,2012-02-21
CX-Ray,Other,Unknown,Unknown,Unknown,operating,120000.0,1,2014-01-01,2014-07-17,2014-07-17
CXO Systems,Technology,USA,Boston,Waltham,operating,4800000.0,1,2001-06-14,2003-03-03,2003-03-03
CXOWARE,Technology,USA,Spokane,Spokane,operating,1250000.0,1,2011-05-07,2013-01-23,2013-01-23
CXR Biosciences,Health & Biotechnology,GBR,Snodland,Snodland,acquired,2555672.0,1,2001-12-01,2008-02-25,2008-02-25
CYA Technologies,Technology,USA,Hartford,Shelton,acquired,3000000.0,1,1998-01-01,2007-08-23,2007-08-23
CyActive,Security & Cybersecurity,ISR,ISR - Other,Be'er Sheva,acquired,4000000.0,1,2013-01-01,2014-09-18,2014-09-18
Cyalume Technologies,Security & Cybersecurity,USA,MA - Other,West Springfield,operating,29000000.0,2,1997-01-01,2011-03-25,2015-05-21
Cyan,Technology,USA,Napa Valley,Petaluma,acquired,130082104.0,7,2006-01-01,2006-09-15,2014-12-23
Cyanto,Energy & Clean Tech,USA,SF Bay Area,San Carlos,operating,1000000.0,1,2007-04-24,2010-03-18,2010-03-18
CybelAngel,Unknown,Unknown,Unknown,Unknown,operating,1113536.14538328,1,2013-02-01,2015-07-01,2015-07-01
Cyber adAPT,Security & Cybersecurity,USA,SF Bay Area,Half Moon Bay,operating,4099999.0,1,2014-01-01,2015-05-18,2015-05-18
CyberArk,Security & Cybersecurity,USA,Boston,Newton,ipo,43000000.0,2,1999-01-01,2006-08-27,2011-12-21
Cyber Gifts,E-Commerce & Retail,USA,"Wilmington, Delaware",Wilmington,operating,100000.0,1,2013-07-15,2013-08-01,2013-08-01
Cyber Holdings,Media & Entertainment,USA,San Diego,San Diego,operating,152000.0,1,2011-06-13,2013-05-13,2013-05-13
Cyber Interns,Media & Entertainment,USA,Los Angeles,Los Angeles,operating,50000.0,1,2011-01-31,2011-02-15,2011-02-15
Cyber Kiosk Solutions,Technology,USA,Ft. Lauderdale,Coral Springs,operating,18000.0,1,2012-05-08,2014-01-25,2014-01-25
Cyber-Rain,Energy & Clean Tech,USA,Los Angeles,Encino,operating,3300000.0,3,2006-01-01,2007-06-18,2010-10-11
Cyber Reliant Corp,Security & Cybersecurity,USA,Baltimore,Annapolis,operating,1083000.0,2,2010-01-01,2013-04-23,2014-10-23
Cyber Solutions International,Technology,USA,"Charleston, South Carolina",Charleston,operating,400000.0,1,2010-12-11,2012-08-29,2012-08-29
Cybera,Security & Cybersecurity,USA,Nashville,Franklin,operating,35194393.0,4,2001-01-01,2006-02-13,2015-09-16
CyberArts,Technology,USA,SF Bay Area,San Francisco,operating,16333000.0,2,2002-05-15,2004-02-01,2009-12-14
Althemy,Technology,Unknown,Unknown,Unknown,operating,88711.572088518,2,2014-07-01,2014-09-01,2015-05-01
"CyberCity 3D, Inc.",Technology,USA,Los Angeles,El Segundo,operating,8500000.0,4,2008-05-01,2008-12-03,2015-04-15
CyberDefender,Technology,USA,Los Angeles,Los Angeles,closed,13210580.0,7,2003-01-01,2009-05-29,2011-09-01
Cybereason,Security & Cybersecurity,USA,Boston,Cambridge,operating,88600000.0,3,2012-01-01,2014-02-11,2015-10-12
CyberExtruder,Security & Cybersecurity,USA,Newark,Newark,operating,2122999.5,1,1999-07-10,2015-02-09,2015-02-09
CyberFlow Analytics,Analytics & Data,USA,San Diego,San Diego,operating,4000000.0,2,2013-04-01,2013-07-16,2015-05-27
Cybergnostic,Other,USA,Hartford,Trumbull,operating,2700000.0,1,1999-05-20,2000-12-22,2000-12-22
CyberGrants,Technology,USA,Boston,Andover,operating,925124.5,1,2013-09-13,2015-06-02,2015-06-02
CYBERHAWK Innovations,Energy & Clean Tech,GBR,Livingston,Livingston,operating,1894064.0,2,2008-01-01,2012-01-01,2013-06-24
CyberHeart,Health & Biotechnology,USA,SF Bay Area,Menlo Park,operating,24765989.0,4,2004-12-19,2008-01-08,2011-02-15
CyberIQ Services,Analytics & Data,USA,"Washington, D.C.",Arlington,operating,3290000.0,2,2012-01-01,2013-05-09,2014-04-01
Cyberith,Education & EdTech,AUT,Vienna,Vienna,operating,1820000.0,3,2014-02-01,2014-06-01,2015-03-01
Cyberkinetics,Health & Biotechnology,Unknown,Unknown,Unknown,operating,4300000.0,1,2000-06-19,2003-07-09,2003-07-09
Cyberlightning Ltd.,Analytics & Data,FIN,Oulu,Oulu,operating,4200000.0,1,2010-01-01,2014-08-12,2014-08-12
Cybernet Software Systems,Technology,USA,New York City,New York,closed,22500000.0,1,2004-05-22,2006-02-08,2006-02-08
Cyberoad.com,Unknown,Unknown,Unknown,Unknown,closed,2270000.0,1,1998-06-21,1999-11-22,1999-11-22
CyberPatrol,Security & Cybersecurity,USA,Tucson,Tucson,operating,1000000.0,1,2010-01-01,2011-07-22,2011-07-22
CyberPen Inc.,Security & Cybersecurity,Unknown,Unknown,Unknown,operating,1117000.0,2,2015-01-01,2015-09-15,2015-09-15
Cyberport Digital Outfitters,Technology,DEU,Dresden,Dresden,acquired,5430000.0,1,1998-01-01,1999-01-01,1999-01-01
CyberSense,Technology,USA,SF Bay Area,Menlo Park,operating,5000000.0,1,2012-06-09,2014-02-26,2014-02-26
CyberSettle,Finance & FinTech,USA,Hartford,Old Greenwich,operating,3351007.0,5,2008-04-28,2009-09-11,2014-04-10
Cybershop,E-Commerce & Retail,USA,Hartford,Westport,ipo,6000000.0,1,1998-10-28,1999-12-13,1999-12-13
Cybersource,Technology,USA,SF Bay Area,San Francisco,acquired,10000000.0,2,1996-01-12,1997-09-30,1998-10-20
CyberSponse,Security & Cybersecurity,USA,Phoenix,Phoenix,operating,3695000.0,4,2011-09-27,2011-10-01,2015-01-22
CyberStep,Media & Entertainment,JPN,Tokyo,Tokyo,operating,132000.0,1,2000-04-01,2014-12-19,2014-12-19
CyberTimez,Technology,USA,"Washington, D.C.",Leesburg,operating,35000.0,1,2014-10-01,2015-02-16,2015-02-16
Cybertonica,Other,Unknown,Unknown,Unknown,operating,16249.0,1,2013-12-14,2015-07-19,2015-07-19
CyberVision Text,Marketing & Advertising,USA,Nashville,Franklin,operating,750000.0,1,2007-11-01,2008-03-19,2008-03-19
CyberX,Security & Cybersecurity,ISR,Tel Aviv,Hod Hasharon,operating,2020000.0,2,2012-01-01,2013-09-10,2014-06-04
CybEye,Technology,USA,Los Angeles,Rolling Hills Estates,operating,3000000.0,1,2011-10-01,2011-11-21,2011-11-21
Cybint,Unknown,Unknown,Unknown,Unknown,operating,500000.0,1,2015-01-01,2015-04-11,2015-04-11
Cybits,Unknown,DEU,Frankfurt,Wiesbaden,operating,2268920.2816084013,1,2012-03-21,2013-08-22,2013-08-22
CYBRA,Technology,USA,New York City,Yonkers,operating,2506000.0,2,1985-01-01,2006-04-10,2009-03-16
Cybrant,Unknown,USA,SF Bay Area,Mountain View,acquired,15000000.0,1,1999-01-01,2000-01-31,2000-01-31
Cybrary,Education & EdTech,USA,"Washington, D.C.",Greenbelt,operating,400000.0,1,2015-01-13,2015-08-25,2015-08-25
Cybrata Networks,Technology,USA,SF Bay Area,Fremont,operating,1000000.0,1,2008-01-01,2009-05-14,2009-05-14
Cybric,Technology,Unknown,Unknown,Unknown,operating,1300000.0,1,2015-01-01,2015-11-09,2015-11-09
Cybronics,Technology,FRA,Paris,Paris,operating,57000.0,1,2010-01-01,2010-01-01,2010-01-01
Cycell,Technology,GBR,London,London,closed,2535759.0,2,2010-01-11,2011-09-30,2012-12-09
Cyclacel Pharmaceuticals,Health & Biotechnology,USA,Newark,Berkeley Heights,ipo,132188186.0,7,1996-04-11,1999-05-01,2014-04-10
Cycle,Technology,Unknown,Unknown,Unknown,operating,266000.0,1,2013-01-01,2013-06-23,2013-06-23
Cycle Gear,Transportation & Automotive,USA,SF Bay Area,Benicia,acquired,3000000.0,1,1974-01-01,2005-02-02,2005-02-02
Cycle Money,Agriculture & Environment,CHL,Santiago,Santiago,operating,40000.0,1,2014-03-13,2014-06-01,2014-06-01
cycleWood Solutions,Energy & Clean Tech,USA,Dallas,Dallas,operating,2080000.0,3,2010-11-01,2013-06-14,2015-08-05
Cyclics,Manufacturing & Industrial,USA,"Albany, New York",Schenectady,operating,4000000.0,1,2001-06-14,2004-05-19,2004-05-19
CycloMedia Technology,Technology,NLD,NLD - Other,Waardenburg,operating,29360000.0,1,1980-01-01,2008-08-15,2008-08-15
Cyclone Power Technologies,Energy & Clean Tech,USA,Ft. Lauderdale,Pompano Beach,operating,150000.0,2,2007-01-01,2010-03-30,2012-03-20
Cyclops MedTech Private Limited,Health & Biotechnology,Unknown,Unknown,Unknown,operating,52000.0,1,2015-01-17,2015-03-25,2015-03-25
Cyclos Semiconductor,Manufacturing & Industrial,USA,SF Bay Area,Berkeley,operating,1062841.0,1,2004-01-01,2009-08-06,2009-08-06
Cydan,Health & Biotechnology,USA,MA - Other,Lincoln,operating,26000000.0,2,2012-01-01,2013-04-11,2013-10-01
Cydas,Unknown,JPN,Tokyo,Tokyo,operating,13714742.06252735,1,2012-09-06,2014-02-07,2014-02-07
Cydcor,Business Services,USA,Los Angeles,Agoura Hills,operating,100000.0,1,1994-01-01,2013-12-05,2013-12-05
Cyfuse Biomedical,Health & Biotechnology,JPN,Tokyo,Tokyo,operating,12000000.0,1,2012-02-11,2015-03-02,2015-03-02
Cygnus Medicare,Health & Biotechnology,IND,New Delhi,New Delhi,operating,9760000.0,1,2011-01-01,2014-10-17,2014-10-17
Cylance,Security & Cybersecurity,USA,Anaheim,Irvine,operating,77000000.0,3,2012-07-04,2013-02-13,2015-07-28
Cylande,Technology,FRA,Roubaix,Roubaix,operating,20800000.0,2,1986-01-01,2008-12-04,2010-04-30
Cylene Pharmaceuticals,Health & Biotechnology,USA,San Diego,San Diego,closed,98802924.0,5,2002-05-07,2005-05-26,2013-01-22
Barkly,Technology,USA,Boston,Boston,operating,17000000.0,2,2013-01-01,2013-01-01,2015-06-23
Cylex,Health & Biotechnology,USA,Baltimore,Columbia,operating,23800000.0,2,1992-01-01,2007-03-07,2010-09-07
Cylindo,Technology,DNK,Copenhagen,Copenhagen,operating,1000000.0,2,2012-04-01,2014-08-19,2015-03-03
Cylon Controls,Energy & Clean Tech,IRL,Dublin,Dublin,operating,9553118.0,1,1985-01-01,2014-06-30,2014-06-30
CymaBay Therapeutics,Health & Biotechnology,USA,SF Bay Area,Hayward,ipo,171505694.0,8,1991-01-01,2003-08-29,2015-08-14
Cymax,E-Commerce & Retail,CAN,Burnaby,Burnaby,operating,25000000.0,2,2004-12-10,2011-08-03,2015-10-15
Cymbal,Technology,USA,Boston,Cambridge,closed,1200000.0,1,2013-09-12,2015-06-01,2015-06-01
Cymbet,Energy & Clean Tech,USA,Minneapolis,Elk River,operating,69492827.0,10,2000-01-01,2001-01-01,2015-09-02
CyMedica Orthopedics,Health & Biotechnology,USA,Phoenix,Scottsdale,operating,11500000.0,1,2013-01-01,2015-06-16,2015-06-16
Cymfony,Analytics & Data,USA,Boston,Boston,acquired,7400000.0,1,2002-08-17,2003-09-23,2003-09-23
Cymmetria,Security & Cybersecurity,ISR,Tel Aviv,Ramat Gan,operating,10600000.0,3,2014-01-01,2014-01-01,2015-11-10
CymoGen Dx,Health & Biotechnology,USA,New York City,New Windsor,operating,350161.0,1,2010-01-01,2010-07-07,2010-07-07
Cympel,Marketing & Advertising,USA,Omaha,Omaha,operating,175000.0,1,2011-05-10,2013-07-01,2013-07-01
Cymphonix,Technology,USA,Salt Lake City,Salt Lake City,acquired,6623651.0,3,2004-01-01,2005-05-12,2011-05-12
Cymtec Systems,Technology,USA,SF Bay Area,Sunnyvale,operating,4026891.0,3,2000-01-01,2010-08-17,2013-08-25
Cynapsus Therapeutics,Health & Biotechnology,CAN,Toronto,Toronto,ipo,36713046.0,5,2004-01-01,2012-03-28,2015-03-31
Cyndx,Analytics & Data,USA,New York City,New York,operating,500000.0,1,2013-10-01,2015-02-13,2015-02-13
Cynergen,Technology,USA,SF Bay Area,San Carlos,operating,828572.0,1,2009-01-01,2011-08-04,2011-08-04
Cynny,Technology,USA,SF Bay Area,Menlo Park,operating,10010878.0,5,2012-01-18,2012-02-20,2015-01-15
Cyntellect,Health & Biotechnology,USA,San Diego,San Diego,closed,42600000.0,4,1997-01-01,2007-07-25,2010-07-16
Cynvec,Health & Biotechnology,USA,New York City,New York,operating,500000.0,1,2006-03-01,2009-03-20,2009-03-20
Cynvenio Biosystems,Health & Biotechnology,USA,Los Angeles,Westlake Village,operating,45825885.0,10,2006-01-01,2008-12-15,2015-06-17
CyOptics,Manufacturing & Industrial,USA,PA - Other,Breinigsville,acquired,77000000.0,2,1999-01-01,2005-10-05,2011-01-26
Cyota,Security & Cybersecurity,USA,New York City,New York,acquired,27250000.0,4,1998-05-29,2000-08-01,2004-12-22
CYP Design,Health & Biotechnology,GBR,Leicester,Leicester,operating,1958909.0,1,2012-01-01,2013-10-22,2013-10-22
Cyph,Technology,USA,"Washington, D.C.",Mclean,operating,500000.0,1,2014-01-01,2015-09-02,2015-09-02
CYPHER,Technology,USA,Salt Lake City,South Jordan,operating,5561939.0,4,2012-01-01,2012-04-17,2015-03-24
Cypherpath Inc.,Technology,USA,SF Bay Area,Mountain View,operating,900000.0,1,2013-06-20,2015-03-25,2015-03-25
CypherWorX,Education & EdTech,USA,"Rochester, New York",Rochester,operating,750000.0,1,2007-01-01,2013-05-20,2013-05-20
Cyphort,Analytics & Data,USA,SF Bay Area,Santa Clara,operating,53700000.0,4,2011-03-01,2011-03-04,2015-06-01
CyPhy Works,Manufacturing & Industrial,USA,Boston,Danvers,operating,34450002.0,6,2008-11-14,2010-02-02,2015-10-13
Cypress Blind and Shutter,Manufacturing & Industrial,USA,Baton Rouge,Denham Springs,operating,1000000.0,1,2014-05-29,2014-05-29,2014-05-29
Cypress Envirosystems,Energy & Clean Tech,USA,SF Bay Area,San Jose,operating,465850.0,1,2006-01-01,2013-05-08,2013-05-08
Cyprotex,Health & Biotechnology,GBR,Macclesfield,Macclesfield,ipo,2675263.0,1,1999-01-01,2010-08-17,2010-08-17
Cyrano Sciences,Health & Biotechnology,USA,Los Angeles,Pasadena,closed,23000000.0,1,1997-02-14,2000-03-05,2000-03-05
Cyrba,Manufacturing & Industrial,SWE,Stockholm,Stockholm,operating,2880000.0,1,2005-10-27,2008-10-01,2008-10-01
Cyren Call Communications,Business Services,USA,"Washington, D.C.",Mclean,closed,170000.0,1,2006-01-01,2009-10-26,2009-10-26
Cyrium Technologies,Manufacturing & Industrial,CAN,Ottawa,Ottawa,closed,17606421.6437253,2,2002-01-01,2005-12-14,2008-07-31
Cyrus Biotechnology,Health & Biotechnology,USA,Seattle,Seattle,operating,850000.0,1,2014-01-01,2015-05-06,2015-05-06
CyrusOne,Technology,USA,Houston,Houston,acquired,150600000.0,2,2000-01-01,2009-11-30,2014-10-09
Cysal GmbH,Unknown,Unknown,Unknown,Unknown,operating,1500000.0,1,2011-06-08,2012-11-08,2012-11-08
Cystinosis Research Foundation,Other,USA,Anaheim,Irvine,operating,1990373.0,2,2003-01-01,2014-09-03,2015-02-02
Cytegic,Security & Cybersecurity,ISR,Tel Aviv,Tel Aviv,operating,3000000.0,1,2012-01-01,2015-10-21,2015-10-21
Cyteir Therapeutics,Health & Biotechnology,USA,Boston,Cambridge,operating,5500000.0,1,2012-10-16,2015-11-05,2015-11-05
Cytena,Health & Biotechnology,DEU,Freiburg,Freiburg,operating,1208791.0,1,2014-06-01,2015-04-29,2015-04-29
Cyterix Pharmaceuticals,Health & Biotechnology,USA,SF Bay Area,San Francisco,operating,16490000.0,2,2008-05-18,2011-06-07,2012-07-01
CyThera,Technology,USA,San Diego,San Diego,operating,2000000.0,1,2001-09-15,2003-06-04,2003-06-04
Cytheris,Health & Biotechnology,FRA,Paris,Issy-les-moulineaux,closed,45700000.0,2,1999-01-01,2006-10-25,2010-06-07
CYTIMMUNE SCIENCES,Health & Biotechnology,USA,"Washington, D.C.",Rockville,operating,8247656.0,5,2006-12-24,2010-01-12,2015-08-31
CYTIoT,Real Estate & Construction,USA,SF Bay Area,San Mateo,operating,36800.0,1,2015-04-04,2015-09-07,2015-09-07
Cyto Wave Technologies,Health & Biotechnology,USA,SF Bay Area,San Francisco,closed,965000.0,1,2012-01-01,2013-04-04,2013-04-04
Cytocentrics,Health & Biotechnology,DEU,Rostock,Rostock,operating,10984320.0,3,2001-01-01,2008-01-08,2015-03-26
Cytochroma,Health & Biotechnology,USA,Chicago,Deerfield,acquired,68470098.0075415,4,1998-11-29,2001-12-18,2008-07-30
"CytoDome,Inc.",Unknown,USA,Atlanta,Atlanta,closed,27138500.0,6,2003-04-23,2004-09-23,2007-11-20
Cytodyn,Health & Biotechnology,USA,"Portland, Oregon",Lake Oswego,ipo,36467860.0,10,2006-09-30,2009-10-19,2015-10-05
Cytogel Pharma,Health & Biotechnology,USA,Hartford,Darien,operating,5131190.0,3,2000-01-01,2010-05-17,2015-01-07
Cytoguide,Health & Biotechnology,DNK,Copenhagen,Copenhagen,operating,1000000.0,1,2006-05-14,2009-06-02,2009-06-02
"Cytokinetics, Inc.",Health & Biotechnology,USA,SF Bay Area,South San Francisco,ipo,40000000.0,1,1999-12-13,2003-01-01,2003-01-01
CytoLogic,Health & Biotechnology,USA,Denver,Boulder,operating,978637.0,2,1998-01-01,2010-12-13,2012-06-15
Nuo Therapeutics,Health & Biotechnology,USA,"Washington, D.C.",Gaithersburg,ipo,104775000.0,8,2007-04-03,2010-04-22,2014-06-26
Cytomics Pharmaceuticals,Health & Biotechnology,FRA,Orsay,Orsay,closed,11885330.3329477,1,2000-01-01,2006-02-28,2006-02-28
CytomX Therapeutics,Health & Biotechnology,USA,Santa Barbara,Santa Barbara,ipo,133500000.0,5,2008-01-01,2010-03-03,2015-06-16
Cytonics,Health & Biotechnology,USA,Palm Beaches,Jupiter,operating,3304760.0,2,2006-01-01,2009-05-18,2011-03-04
Cytoo,Health & Biotechnology,FRA,Grenoble,Grenoble,operating,14700000.0,2,2006-09-12,2009-10-01,2011-11-25
CytoPherx,Health & Biotechnology,USA,Detroit,Ann Arbor,operating,47686876.0,3,2006-10-18,2009-11-06,2012-01-04
Cytora,Unknown,GBR,London,Cambridge,operating,5125000.0,1,2013-01-01,2015-10-01,2015-10-01
Cytori Therapeutics,Health & Biotechnology,USA,San Diego,San Diego,ipo,54751700.0,4,1996-01-01,2009-06-30,2014-10-08
CytoSolv,Health & Biotechnology,USA,Providence,Tiverton,acquired,500000.0,1,2009-01-01,2010-02-09,2010-02-09
Cytosorbents,Health & Biotechnology,USA,Newark,Monmouth Junction,operating,1843000.0,2,1997-01-01,2013-08-08,2013-10-11
CytoSport,Other,USA,SF Bay Area,Benicia,acquired,6200000.0,1,1988-01-01,2006-07-06,2006-07-06
CytoVale,Health & Biotechnology,USA,SF Bay Area,South San Francisco,operating,4300000.0,2,2013-01-01,2013-11-15,2014-06-10
Cytovance Biologics,Health & Biotechnology,USA,Oklahoma City,Oklahoma City,acquired,42500000.0,2,2008-02-24,2011-03-15,2014-10-28
CytoViva,Health & Biotechnology,USA,AL - Other,Auburn University,operating,685000.0,1,2005-01-01,2009-04-29,2009-04-29
Cytox,Health & Biotechnology,GBR,Manchester,Manchester,operating,2272877.0,1,2013-01-01,2014-04-03,2014-04-03
Cytrellis Biosystems,Health & Biotechnology,USA,Boston,Boston,operating,7139937.0,1,2012-02-01,2015-02-20,2015-02-20
CytRx,Health & Biotechnology,USA,Los Angeles,Los Angeles,ipo,86000000.0,1,2011-01-17,2014-02-05,2014-02-05
Cytura Corp,Technology,GBR,Heathrow,Heathrow,operating,11000000.0,1,1999-09-16,2001-06-04,2001-06-04
CyVek,Health & Biotechnology,USA,Hartford,Wallingford,acquired,22304410.0,5,2008-01-01,2010-02-12,2014-04-07
Cyvenio Biosystems,Health & Biotechnology,USA,Los Angeles,Westlake Village,operating,1968783.0,1,2008-01-01,2010-01-11,2010-01-11
Cyvera,Security & Cybersecurity,ISR,Tel Aviv,Tel Aviv,acquired,13100000.0,3,2011-06-07,2012-04-01,2013-08-13
Cyzone,Media & Entertainment,CHN,Beijing,Beijing,operating,2750000.0,1,2005-10-12,2007-01-01,2007-01-01
Czen,Unknown,USA,Boston,Waltham,closed,3500000.0,1,2005-07-17,2006-12-18,2006-12-18
D & B Risk Management,Transportation & Automotive,USA,Seattle,Seattle,operating,182172.0,2,2010-02-11,2015-02-11,2015-02-11
D.A.M. Good Media Limited,Analytics & Data,GBR,London,Eastleigh,operating,600364.0,5,2011-04-01,2011-06-01,2015-01-01
D&B Auto Solutions,Unknown,CAN,Calgary,Calgary,operating,5584971.098265896,1,2013-04-29,2014-04-04,2014-04-04
Dun & Bradstreet Credibility Corporation,Business Services,USA,Los Angeles,Malibu,acquired,200000000.0,1,2010-07-01,2010-07-29,2010-07-29
D.Canty Investments Loans & Services,Finance & FinTech,USA,Birmingham,Gardendale,operating,1500000.0,1,2013-12-13,2014-05-26,2014-05-26
D-ÉG Thermoset,Unknown,Unknown,Unknown,Unknown,operating,1500000.0,1,2011-07-01,2012-12-01,2012-12-01
D-LABS,Real Estate & Construction,DEU,Berlin,Potsdam,closed,1210185.0,2,2005-02-18,2006-07-17,2009-06-05
d.light design,Energy & Clean Tech,CYM,Cayman Islands,Grand Cayman,operating,25775000.0,4,2007-01-01,2008-11-10,2014-12-18
D’Lisi Food Systems,Food & Hospitality,USA,"Rochester, New York",Rochester,closed,4200000.0,1,2002-11-15,2004-01-28,2004-01-28
D-Orbit,Transportation & Automotive,ITA,Milan,Milan,operating,1830000.0,1,2011-03-01,2015-10-08,2015-10-08
