name,category,country_code,region,city,status,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at
1234ENTER,Marketing & Advertising,Unknown,Unknown,Unknown,operating,650267.0,2,2012-01-01,2012-09-01,2013-11-22
123ContactForm,E-Commerce & Retail,ROM,Timisoara,Timisoara,operating,1000000.0,2,2008-01-01,2010-01-01,2015-06-16
123Feng.Com,Unknown,CHN,Hangzhou,Hangzhou,operating,13000000.0,1,2014-01-01,2015-10-27,2015-10-27
123Greetings,Technology,Unknown,Unknown,Unknown,operating,5400000.0,1,1997-05-01,2015-07-23,2015-07-23
yelster digital gmbh (former 123people),Technology,AUT,Vienna,Vienna,acquired,4890000.0,1,2007-01-01,2008-01-01,2008-01-01
1248,Technology,GBR,London,Cambridge,operating,378812.0,1,2013-01-01,2014-03-18,2014-03-18
128 Technology,Technology,USA,Boston,Burlington,operating,11999347.0,1,2014-07-07,2014-12-16,2014-12-16
12Bis,Media & Entertainment,FRA,Paris,Paris,operating,130636.0,1,2008-01-01,2012-03-15,2012-03-15
12cm,Technology,KOR,Bundangdong,Bundangdong,operating,1809056.0,1,2013-03-24,2014-12-11,2014-12-11
12Return,E-Commerce & Retail,NLD,NLD - Other,Gorinchem,operating,619494.0,1,2010-12-10,2012-06-01,2012-06-01
12Society,E-Commerce & Retail,USA,Los Angeles,West Hollywood,acquired,3000000.0,1,2012-01-01,2012-04-05,2012-04-05
1366 Technologies,Manufacturing & Industrial,USA,Boston,Bedford,operating,71450000.0,9,2007-01-01,2008-03-27,2015-04-09
139shop,E-Commerce & Retail,CHN,Beijing,Beijing,operating,6334832.5,1,2005-12-17,2007-02-01,2007-02-01
13th Lab,Media & Entertainment,SWE,Stockholm,Stockholm,acquired,700000.0,1,2010-01-01,2012-06-15,2012-06-15
140Fire,Marketing & Advertising,USA,Los Angeles,Santa Monica,operating,500000.0,1,2010-01-01,2010-05-05,2010-05-05
1417,Finance & FinTech,USA,Nashville,Brentwood,operating,1500000.0,1,2012-01-12,2015-01-21,2015-01-21
15Fen,Unknown,CHN,Guangzhou,Guangzhou,operating,16000000.0,1,2012-07-14,2013-12-15,2013-12-15
15Five,Technology,USA,SF Bay Area,San Francisco,operating,3400000.0,3,2011-05-01,2012-01-01,2014-10-02
15MinutesNOW,Media & Entertainment,Unknown,Unknown,Unknown,operating,200000.0,1,2011-04-19,2011-05-10,2011-05-10
15ShopStop,E-Commerce & Retail,USA,Los Angeles,Los Angeles,operating,400000.0,1,2014-11-17,2014-11-17,2014-11-17
16 Mile Solutions,Technology,USA,Seattle,Seattle,operating,199957.0,1,2006-01-01,2009-06-11,2009-06-11
169 ST.,Media & Entertainment,USA,Orlando,Lake Mary,closed,50000.0,1,2009-05-15,2009-06-01,2009-06-01
16Lab Inc.,Real Estate & Construction,JPN,JPN - Other,Kamakura,operating,2505000.0,1,2013-04-24,2014-11-26,2014-11-26
16WiFi,Transportation & Automotive,CHN,Beijing,Beijing,operating,16000000.0,1,2011-01-01,2015-06-05,2015-06-05
17 Media,Unknown,Unknown,Unknown,Unknown,operating,10000000.0,1,2015-07-15,2015-11-05,2015-11-05
170 Systems,Technology,USA,Boston,Bedford,acquired,14000000.0,1,1990-01-01,2002-04-16,2002-04-16
17hats,Technology,USA,Los Angeles,Los Angeles,operating,5250000.0,2,2014-01-01,2015-02-18,2015-10-15
17u.cn,Food & Hospitality,CHN,Shanghai,Suzhou,operating,84440319.0,3,2004-01-01,2008-01-01,2014-02-17
17zuoye,Education & EdTech,USA,VA - Other,Shanghai,operating,135000000.0,5,2007-01-01,2011-01-01,2015-02-19
1800Diapers,Other,Unknown,Unknown,Unknown,operating,7000000.0,1,2006-05-01,2007-12-04,2007-12-04
180Solutions,Marketing & Advertising,USA,Seattle,Bellevue,closed,40000000.0,1,2003-01-20,2004-04-05,2004-04-05
1871,Technology,USA,Chicago,Chicago,operating,2500000.0,1,2012-09-28,2014-06-17,2014-06-17
19pay,Finance & FinTech,CHN,Beijing,Beijing,operating,9478511.0,3,2005-01-01,2006-01-01,2013-07-01
1bib,Transportation & Automotive,CHN,Guangzhou,Guangzhou,closed,1000000.0,1,2006-01-01,2008-02-07,2008-02-07
One Block Off the Grid (1BOG),Energy & Clean Tech,USA,SF Bay Area,San Francisco,closed,5000000.0,1,2008-11-01,2010-02-11,2010-02-11
1C Company,Media & Entertainment,RUS,Moscow,Moscow,closed,200000000.0,1,1991-01-01,2011-10-03,2011-10-03
1Cast,Media & Entertainment,USA,Seattle,Kirkland,closed,550000.0,1,2006-06-01,2008-08-12,2008-08-12
1CLICK,Social & Communication,IND,Bangalore,Bangalore,acquired,1500000.0,1,2012-11-01,2014-01-26,2014-01-26
1CloudStar,Technology,SGP,Singapore,Singapore,operating,510500.0,1,2012-01-01,2013-08-01,2013-08-01
1CommMedical,Health & Biotechnology,USA,Des Moines,Ankeny,operating,2500000.0,1,2013-01-01,2015-04-27,2015-04-27
1d4 Pty,Other,NOR,Sydney,Sydney,operating,40000.0,1,2010-09-07,2012-04-11,2012-04-11
1Day1Song,Media & Entertainment,KOR,Seoul,Seoul,operating,470000.0,1,2012-12-01,2013-12-01,2013-12-01
1DayMakeover,E-Commerce & Retail,USA,"Orange County, California",Santa Ana,closed,50000.0,1,2008-06-30,2008-06-30,2008-06-30
1doc3,Health & Biotechnology,COL,Bogota,Bogotá,operating,37639.0,1,2013-11-01,2014-05-21,2014-05-21
1DocWay,Health & Biotechnology,USA,New York City,New York,acquired,1700000.0,2,2011-02-01,2011-08-10,2015-07-21
1Energy Systems,Technology,USA,Seattle,Seattle,operating,1450000.0,1,2010-01-01,2013-04-22,2013-04-22
Babyscripts,Health & Biotechnology,USA,"Washington, D.C.",Washington,operating,2100000.0,3,2013-03-08,2013-03-11,2015-04-10
1jiajie,E-Commerce & Retail,CHN,Beijing,Beijing,operating,4163132.0,2,2012-07-17,2013-09-01,2014-09-16
1Lay,Technology,Unknown,Unknown,Unknown,operating,212000.0,2,2013-07-18,2014-05-30,2015-11-02
1Life Healthcare,Health & Biotechnology,USA,SF Bay Area,San Francisco,operating,30000000.0,1,2002-01-01,2013-03-21,2013-03-21
1Mind,Social & Communication,USA,"Manchester, New Hampshire",Hampton Falls,operating,500000.0,1,2011-01-01,2013-08-05,2013-08-05
1mpact Revolution - Powering Helpfreely.org,Other,ESP,Las Palmas De Gran Canaria,Las Palmas De Gran Canaria,operating,761234.47320427,4,2013-09-01,2013-09-10,2015-11-01
1mxians,Unknown,CHN,Beijing,Beijing,operating,15000000.0,1,2014-01-01,2015-12-02,2015-12-02
1o1Media,Media & Entertainment,Unknown,Unknown,Unknown,operating,300000.0,1,2012-01-01,2013-10-01,2013-10-01
1Rebel,Other,GBR,London,London,operating,2572969.0,1,2013-01-27,2014-09-01,2014-09-01
1Ring,Marketing & Advertising,Unknown,Unknown,Unknown,operating,150000.0,1,2009-05-01,2011-02-21,2011-02-21
1RP Media,Unknown,USA,Los Angeles,Los Angeles,operating,3900000.0,1,2011-01-01,2012-06-29,2012-06-29
1SDK,Technology,Unknown,Unknown,Unknown,operating,156000.0,2,2013-01-25,2013-08-05,2013-09-02
1spire,Manufacturing & Industrial,USA,Houston,Houston,operating,30000.0,1,2011-10-01,2011-12-20,2011-12-20
1st Merchant Funding,Finance & FinTech,USA,Miami,Miami,operating,10000000.0,1,2007-01-01,2014-05-07,2014-05-07
1stdibs,E-Commerce & Retail,USA,New York City,New York,operating,117000000.0,5,2001-01-01,2011-11-03,2015-09-09
1stGig.com,E-Commerce & Retail,USA,"Albany, New York",Saratoga Springs,operating,750000.0,1,2009-08-01,2012-10-01,2012-10-01
1World Online,Analytics & Data,USA,SF Bay Area,San Jose,operating,4000000.0,3,2011-12-01,2013-07-02,2015-08-13
2 Ladoshki,Unknown,Unknown,Unknown,Unknown,operating,1500000.0,1,2012-07-23,2013-12-24,2013-12-24
2 Minutes,Media & Entertainment,FRA,Paris,Paris,operating,1660000.0,1,2000-10-01,2008-06-19,2008-06-19
2NGageU,Media & Entertainment,USA,VT - Other,Williston,operating,58000.0,1,2011-12-26,2012-04-12,2012-04-12
2-Observe,Health & Biotechnology,BEL,BEL - Other,Ferrières,operating,204189.0,1,2010-01-01,2014-06-25,2014-06-25
2 Pro Media Group,Media & Entertainment,Unknown,Unknown,Unknown,operating,41250.0,1,2011-01-01,2014-01-01,2014-01-01
20/20 Gene Systems Inc.,Health & Biotechnology,USA,"Washington, D.C.",Rockville,operating,4345427.0,3,2000-05-01,2012-09-25,2015-10-30
20:20 Mobile,Technology,IRL,IRL - Other,Cree,operating,29750000.0,1,2006-09-01,2008-07-04,2008-07-04
2080 Media,Media & Entertainment,USA,Atlanta,Atlanta,operating,51507046.0,7,2008-01-01,2010-08-05,2015-11-30
20lines,Education & EdTech,ITA,Roncade,Roncade,operating,1236454.0,3,2012-01-01,2012-11-15,2014-06-01
20n,Technology,USA,SF Bay Area,San Francisco,operating,2220000.0,2,2013-03-14,2014-12-01,2015-05-01
20x200,E-Commerce & Retail,USA,New York City,New York,operating,2800000.0,2,2007-09-01,2009-10-01,2010-08-01
2100b Sausalito LLC.,Marketing & Advertising,USA,SF Bay Area,Sausalito,closed,50000.0,2,2011-06-15,2013-01-01,2013-01-01
21Cake Food Co.,Food & Hospitality,CHN,Beijing,Beijing,operating,1464128.0,1,2004-01-01,2010-01-22,2010-01-22
